X,Y,id,modified,language,bibliographicCitation,institutionCode,datasetName,basisOfRecord,dynamicProperties,source,catalogNumber,occurrenceRemarks,sex,lifeStage,occurrenceStatus,associatedTaxa,eventID,samplingProtocol,eventDate,year,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,identifiedBy,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,FID
174.79,-36.26,729,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-729 L.12 Coris sandageri,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:303559,Coris sandageri,Animalia,Chordata,Actinopteri,Perciformes,Labridae,Coris,,sandageri,,"(Hector, 1884)",2717
174.79,-36.26,12,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-12 L.12 Dasyatis brevicaudata,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:212249,Dasyatis brevicaudata,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,,brevicaudata,,"(Hutton, 1875)",2718
174.79,-36.26,27,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-27 L.12 Dasyatis thetidis,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:212247,Dasyatis thetidis,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,,thetidis,,"Ogilby, 1899",2719
174.79,-36.26,334,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-334 L.12 Decapterus koheru,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:273277,Decapterus koheru,Animalia,Chordata,Actinopteri,Perciformes,Carangidae,Decapterus,,koheru,,"(Hector, 1875)",2720
174.79,-36.26,862,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-862 L.12 Forsterygion flavonigrum,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280795,Forsterygion flavonigrum,Animalia,Chordata,Actinopteri,Perciformes,Tripterygiidae,Forsterygion,,flavonigrum,,"Fricke & Roberts, 1994",2721
174.79,-36.26,876,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-876 L.12 Forsterygion lapillum,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280796,Forsterygion lapillum,Animalia,Chordata,Actinopteri,Perciformes,Tripterygiidae,Forsterygion,,lapillum,,"Hardy, 1989",2722
174.79,-36.26,891,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-891 L.12 Forsterygion malcolmi,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280797,Forsterygion malcolmi,Animalia,Chordata,Actinopteri,Perciformes,Tripterygiidae,Forsterygion,,malcolmi,,"Hardy, 1987",2723
174.79,-36.26,906,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-906 L.12 Forsterygion varium,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280799,Forsterygion varium,Animalia,Chordata,Actinopteri,Perciformes,Tripterygiidae,Forsterygion,,varium,,"(Forster, 1801)",2724
174.79,-36.26,507,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-507 L.12 Girella tricuspidata,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:280870,Girella tricuspidata,Animalia,Chordata,Actinopteri,Perciformes,Kyphosidae,Girella,,tricuspidata,,"(Quoy & Gaimard, 1824)",2725
174.79,-36.26,73,2015-09-19T12:00:00.000Z,en,"F. J. Brook (2002) Biogeography of near-shore reef fishes in northern New Zealand, Journal of the Royal Society of New Zealand, 32:2, 243-274, DOI:10.1080/03014223.2002.9517694",DoC,Near-shore reef fishes in northern New Zealand,HumanObservation,,,MBIS-73 L.12 Gymnothorax prasinus,"Sourced from Russell 1969; Russell & Ayling 1976; Gordon & Ballantine 1977; Thompson 1981; Francis & Evans 1993",,,present,,1843,from published and unpublished literature reports,,,L.12,Pacific Ocean,New Zealand,,,Leigh (Leigh Marine Reserve),,,-36.26,174.79,WGS84,10000,POINT (174.79 -36.26),,,urn:lsid:marinespecies.org:taxname:271873,Gymnothorax prasinus,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,,prasinus,,"(Richardson, 1848)",2726
