X,Y,OBJECTID,MONTH,YEAR,LOCALITY,NUMBER,NAME
174.664688774281558,-41.247885196303294,1413,3,2002,Unnamed stream Te Ikaamaru Bay,     7,Unidentified eel 
174.664688774281558,-41.247885196303294,1414,3,2002,Unnamed stream Te Ikaamaru Bay,     5,Koaro 
174.664688774281558,-41.247885196303294,1415,3,2002,Unnamed stream Te Ikaamaru Bay,     3,Koura
174.664688774281558,-41.247885196303294,1416,3,2002,Unnamed stream Te Ikaamaru Bay,    29,Longfin eel 
174.664688774281558,-41.247885196303294,1417,3,2002,Unnamed stream Te Ikaamaru Bay,     6,Shortfin eel 
175.164503364767029,-41.23874700543513,1418,2,2005,Burlings Stream, ,Brown trout 
175.164503364767029,-41.23874700543513,1419,2,2005,Burlings Stream, ,Torrentfish 
175.164503364767029,-41.23874700543513,1420,2,2005,Burlings Stream, ,Common bully
175.164503364767029,-41.23874700543513,1421,2,2005,Burlings Stream, ,Inanga 
175.164503364767029,-41.23874700543513,1422,2,2005,Burlings Stream,    23,Longfin eel 
175.164503364767029,-41.23874700543513,1423,2,2005,Burlings Stream,    14,Shortfin eel 
175.164503364767029,-41.23874700543513,1424,2,2005,Burlings Stream, ,Koura
174.804310637502169,-41.244433059290067,1425,3,2009,Tyers Stream,     1,Koaro 
174.804310637502169,-41.244433059290067,1426,3,2009,Tyers Stream,     2,Longfin eel 
174.804310637502169,-41.244433059290067,1427,3,2009,Tyers Stream,     1,Shortfin eel 
174.804310637502169,-41.244433059290067,1428,3,2009,Tyers Stream,     1,Koura
174.806045688323962,-41.244171825002347,1429,3,2009,Tyers Stream,    21,Koaro 
174.806045688323962,-41.244171825002347,1430,3,2009,Tyers Stream,     3,Longfin eel 
175.16318509918338,-41.237843902882709,1431,12,1991,Burlings Stream,     2,Brown trout 
175.16318509918338,-41.237843902882709,1432,12,1991,Burlings Stream,     3,Torrentfish 
175.16318509918338,-41.237843902882709,1433,12,1991,Burlings Stream,   113,Common bully
175.16318509918338,-41.237843902882709,1434,12,1991,Burlings Stream,    19,Longfin eel 
175.16318509918338,-41.237843902882709,1435,12,1991,Burlings Stream,     1,Bluegill bully 
174.787433321351926,-41.241632595326038,1436,3,2009,Tyers Stream,     1,Koaro 
174.787433321351926,-41.241632595326038,1437,3,2009,Tyers Stream,     1,Banded kokopu 
174.764744941646256,-41.240998972741572,1438,8,1979,Kaiwharawhara Stream tributary,     2,Koaro 
174.764744941646256,-41.240998972741572,1439,8,1979,Kaiwharawhara Stream tributary, ,Koura
174.730155309744958,-41.24152115677861,1440,6,1979,Ohariu Stream tributary, ,Longfin eel 
174.730155309744958,-41.24152115677861,1441,6,1979,Ohariu Stream tributary, ,Shortfin eel 
174.730155309744958,-41.24152115677861,1442,6,1979,Ohariu Stream tributary, ,Bluegill bully 
174.730155309744958,-41.24152115677861,1443,6,1979,Ohariu Stream tributary, ,Redfin bully 
174.730155309744958,-41.24152115677861,1444,6,1979,Ohariu Stream tributary, ,Banded kokopu 
174.730155309744958,-41.24152115677861,1445,6,1979,Ohariu Stream tributary, ,Inanga 
175.157046280880081,-41.232554136491757,1446,9,1973,Burlings Stream tributary, ,Common bully
175.157046280880081,-41.232554136491757,1447,9,1973,Burlings Stream tributary, ,Longfin eel 
175.157046280880081,-41.232554136491757,1448,9,1973,Burlings Stream tributary, ,Torrentfish 
175.157046280880081,-41.232554136491757,1449,9,1973,Burlings Stream tributary, ,Koaro 
174.910785949392107,-41.236104500034735,1450,11,2007,Waiwhetu Stream, ,Common smelt 
174.910785949392107,-41.236104500034735,1451,11,2007,Waiwhetu Stream, ,Inanga 
174.910785949392107,-41.236104500034735,1452,11,2007,Waiwhetu Stream, ,Estuarine triplefin 
174.910785949392107,-41.236104500034735,1453,11,2007,Waiwhetu Stream, ,Shortfin eel 
174.910785949392107,-41.236104500034735,1454,11,2007,Waiwhetu Stream, ,Yelloweyed mullet 
174.718157373809305,-41.23899788333776,1455,10,1986,Makara Stream, ,Shortfin eel 
174.718157373809305,-41.23899788333776,1456,10,1986,Makara Stream, ,Redfin bully 
174.718157373809305,-41.23899788333776,1457,10,1986,Makara Stream,     1,Giant kokopu 
174.718157373809305,-41.23899788333776,1458,10,1986,Makara Stream, ,Longfin eel 
174.718157373809305,-41.23899788333776,1459,10,1986,Makara Stream, ,Unidentified galaxiid 
174.718157373809305,-41.23899788333776,1460,10,1986,Makara Stream,     1,Brown trout 
174.718157373809305,-41.23899788333776,1461,2,1985,Makara Stream,     8,Brown trout 
174.718157373809305,-41.23899788333776,1462,2,1985,Makara Stream, ,Inanga 
174.718157373809305,-41.23899788333776,1463,2,1985,Makara Stream, ,Common smelt 
174.718157373809305,-41.23899788333776,1464,2,1985,Makara Stream, ,Redfin bully 
175.152218062340125,-41.230842526099345,1465,7,1979,Burlings Stream tributary, ,Koura
175.152218062340125,-41.230842526099345,1466,7,1979,Burlings Stream tributary, ,Longfin eel 
175.152218062340125,-41.230842526099345,1467,7,1979,Burlings Stream tributary, ,Brown trout 
175.152218062340125,-41.230842526099345,1468,7,1979,Burlings Stream tributary, ,Koaro 
175.152218062340125,-41.230842526099345,1469,7,1979,Burlings Stream tributary, ,Torrentfish 
175.152218062340125,-41.230842526099345,1470,7,1979,Burlings Stream tributary, ,Redfin bully 
175.152218062340125,-41.230842526099345,1471,7,1979,Burlings Stream tributary, ,Shortfin eel 
174.722904730063362,-41.23802664672376,1472,5,1962,Ohariu Stream, ,Redfin bully 
174.722904730063362,-41.23802664672376,1473,5,1962,Ohariu Stream, ,Upland bully 
175.159342757381211,-41.229809235365799,1474,2,2002,Burlings Stream,    20,Unidentified eel 
175.159342757381211,-41.229809235365799,1475,2,2002,Burlings Stream,     3,Common bully
175.159342757381211,-41.229809235365799,1476,2,2002,Burlings Stream,    11,Koura
175.159342757381211,-41.229809235365799,1477,2,2002,Burlings Stream,    13,Longfin eel 
175.159342757381211,-41.229809235365799,1478,2,2002,Burlings Stream,     2,Redfin bully 
175.159342757381211,-41.229809235365799,1479,2,2002,Burlings Stream,     2,Shortfin eel 
175.159342757381211,-41.229809235365799,1480,2,2002,Burlings Stream,    34,Brown trout 
175.159342757381211,-41.229809235365799,1481,2,2002,Burlings Stream,     3,Torrentfish 
174.71272098741872,-41.235953150090509,1482,3,2006,Makara Stream, ,Black Flounder 
174.690563221856081,-41.233099594973559,1483,5,1964,Opau Stream, ,Inanga 
174.690563221856081,-41.233099594973559,1484,5,1964,Opau Stream, ,Longfin eel 
174.690563221856081,-41.233099594973559,1485,5,1964,Opau Stream, ,Shortfin eel 
174.690563221856081,-41.233099594973559,1486,5,1964,Opau Stream, ,Redfin bully 
174.746567932749315,-41.230466627771037,1487,9,1979,Ohariu Stream tributary, ,Koura
174.746567932749315,-41.230466627771037,1488,9,1979,Ohariu Stream tributary, ,Redfin bully 
174.746567932749315,-41.230466627771037,1489,9,1979,Ohariu Stream tributary, ,Banded kokopu 
174.746567932749315,-41.230466627771037,1490,9,1979,Ohariu Stream tributary, ,Koaro 
174.746567932749315,-41.230466627771037,1491,9,1979,Ohariu Stream tributary, ,Longfin eel 
174.747712813754219,-41.228648001837207,1492,8,1979,Ohariu Stream tributary, ,Koaro 
174.747712813754219,-41.228648001837207,1493,8,1979,Ohariu Stream tributary, ,Redfin bully 
174.747712813754219,-41.228648001837207,1494,8,1979,Ohariu Stream tributary, ,Longfin eel 
174.921759229562554,-41.224087819926673,1495,3,1947,Waiwhetu Stream,     2,Shortfin eel 
174.921759229562554,-41.224087819926673,1496,3,1947,Waiwhetu Stream, ,Giant bully 
